2026-07-13 00:42:25 | INFO    | crawler.browser | Detected Chrome major version: 150
2026-07-13 00:42:25 | INFO    | crawler.pipeline | Crawler starting. Sites: hk_marine_dept
2026-07-13 00:42:25 | INFO    | crawler.pipeline | [hk_marine_dept] crawling 1 list page(s)
2026-07-13 00:42:26 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
2026-07-13 00:42:26 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-13 00:42:26 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://www.hkmpdb.gov.hk/en/news.html: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-13 00:42:29 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
2026-07-13 00:42:29 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-13 00:42:29 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
2026-07-13 00:42:29 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-13 00:42:29 | WARNING | crawler.pipeline | fetch attempt 2/3 failed for https://www.hkmpdb.gov.hk/en/news.html: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-13 00:42:33 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
2026-07-13 00:42:33 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-13 00:42:34 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>
2026-07-13 00:42:34 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-13 00:42:34 | WARNING | crawler.pipeline | fetch attempt 3/3 failed for https://www.hkmpdb.gov.hk/en/news.html: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-13 00:42:34 | WARNING | crawler.pipeline | [hk_marine_dept] could not load list page https://www.hkmpdb.gov.hk/en/news.html
2026-07-13 00:42:34 | INFO    | crawler.pipeline | [hk_marine_dept] 0 candidates, 0 new to fetch
2026-07-13 00:42:34 | INFO    | crawler.pipeline | [hk_marine_dept] cycle done, 0 new article(s). Stats: {'total': 0, 'per_site': {}}
2026-07-13 00:48:52 | INFO    | crawler.pipeline | Received signal 2, shutting down after current task...
2026-07-13 00:48:52 | INFO    | crawler.pipeline | Final stats: {'total': 0, 'per_site': {}}
2026-07-13 00:48:52 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-13 01:16:58 | INFO    | crawler.browser | Detected Chrome major version: 150
2026-07-13 01:16:58 | INFO    | crawler.pipeline | [hk_marine_dept] crawling 1 list page(s)
2026-07-13 01:17:09 | INFO    | crawler.browser | Chrome driver started (undetected=True, headless=True)
2026-07-13 01:17:38 | INFO    | crawler.pipeline | [hk_marine_dept] 187 candidates, 187 new to fetch
2026-07-13 01:17:47 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] New appointment to Hong Kong Maritime and Port Development Board annou (cac1b2e6fd9e06d0.json)
2026-07-13 01:17:59 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] New appointment to Hong Kong Maritime and Port Development Board annou (6fb654772f1bcebd.json)
2026-07-13 01:18:11 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] Speech by STL at rollout ceremony of Port Community System (65bbc20c63087e21.json)
2026-07-13 01:18:26 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] Government implements multiple measures to promote smart, green and mo (4b3714fa00c15d0b.json)
2026-07-13 01:18:41 | INFO    | crawler.pipeline | [hk_marine_dept] saved [OK] Ming Pao 8 January 2026 (Chinese Only) (88863df4b50c80b1.json)
2026-07-13 01:18:45 | INFO    | crawler.pipeline | [hk_marine_dept] single cycle done, 5 new article(s)
2026-07-13 01:18:45 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-13 01:18:45 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-12 17:55:13 | INFO    | crawler.pipeline | [hk_marine_dept] crawling 1 list page(s)
2026-07-12 17:55:13 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): No module named 'undetected_chromedriver'
2026-07-12 17:55:43 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-12 17:55:43 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://www.hkmpdb.gov.hk/en/news.html: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-12 17:55:45 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): No module named 'undetected_chromedriver'
2026-07-12 17:55:56 | INFO    | crawler.pipeline | [hk_marine_dept] crawling 1 list page(s)
2026-07-12 17:56:26 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-12 17:56:26 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://www.hkmpdb.gov.hk/en/news.html: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:47 | INFO    | crawler.pipeline | [hket] crawling 2 list page(s)
2026-07-22 06:02:48 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:48 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://www.hket.com/: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:52 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:54 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:02:54 | WARNING | crawler.pipeline | fetch attempt 2/3 failed for https://www.hket.com/: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:00 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:02 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:02 | WARNING | crawler.pipeline | fetch attempt 3/3 failed for https://www.hket.com/: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:02 | WARNING | crawler.pipeline | [hket] could not load list page https://www.hket.com/
2026-07-22 06:03:04 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:04 | WARNING | crawler.pipeline | fetch attempt 1/3 failed for https://service.hket.com/search/result?dis=contenttagid&keyword=2467: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:08 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:10 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:10 | WARNING | crawler.pipeline | fetch attempt 2/3 failed for https://service.hket.com/search/result?dis=contenttagid&keyword=2467: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:16 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:18 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:18 | WARNING | crawler.pipeline | fetch attempt 3/3 failed for https://service.hket.com/search/result?dis=contenttagid&keyword=2467: Could not start Chrome driver: Message: Unable to obtain driver for chrome; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors/driver_location

2026-07-22 06:03:18 | WARNING | crawler.pipeline | [hket] could not load list page https://service.hket.com/search/result?dis=contenttagid&keyword=2467
2026-07-22 06:03:18 | INFO    | crawler.pipeline | [hket] 0 candidates, 0 new to fetch
2026-07-22 06:03:18 | INFO    | crawler.pipeline | [hket] single cycle done, 0 new article(s)
2026-07-22 06:03:18 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:03:18 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:11:03 | INFO    | crawler.pipeline | [hket] crawling 2 list page(s)
2026-07-22 06:11:13 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:12:58 | INFO    | crawler.pipeline | [hket] 0 candidates, 0 new to fetch
2026-07-22 06:12:58 | INFO    | crawler.pipeline | [hket] single cycle done, 0 new article(s)
2026-07-22 06:12:58 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:12:58 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:15:21 | INFO    | crawler.pipeline | [hket] crawling 2 list page(s)
2026-07-22 06:15:24 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:17:29 | INFO    | crawler.pipeline | [hket] 0 candidates, 0 new to fetch
2026-07-22 06:17:29 | INFO    | crawler.pipeline | [hket] single cycle done, 0 new article(s)
2026-07-22 06:17:29 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:17:29 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:18:41 | INFO    | crawler.pipeline | [takungpao] crawling 2 list page(s)
2026-07-22 06:18:45 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:19:02 | INFO    | crawler.pipeline | [takungpao] 0 candidates, 0 new to fetch
2026-07-22 06:19:02 | INFO    | crawler.pipeline | [takungpao] single cycle done, 0 new article(s)
2026-07-22 06:19:02 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:19:02 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:31:57 | INFO    | crawler.pipeline | [cnn] crawling 2 list page(s)
2026-07-22 06:32:01 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:33:55 | INFO    | crawler.pipeline | [cnn] 0 candidates, 0 new to fetch
2026-07-22 06:33:55 | INFO    | crawler.pipeline | [cnn] single cycle done, 0 new article(s)
2026-07-22 06:33:55 | INFO    | crawler.pipeline | Final stats: {'total': 5, 'per_site': {'hk_marine_dept': 5}}
2026-07-22 06:33:56 | INFO    | crawler.pipeline | Crawler stopped.
2026-07-22 06:35:54 | INFO    | crawler.pipeline | [manifold_times] crawling 1 list page(s)
2026-07-22 06:35:59 | INFO    | crawler.browser | Chrome driver started (undetected=False, headless=True)
2026-07-22 06:36:11 | INFO    | crawler.pipeline | [manifold_times] 54 candidates, 54 new to fetch
2026-07-22 06:36:16 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Singapore: High Court to hear Norvic Shipping Asia winding up applicat (8256252312c31c49.json)
2026-07-22 06:36:26 | INFO    | crawler.pipeline | [manifold_times] saved [OK] World Fuel and partners complete first green methanol bunkering of car (ea3b9999338b899f.json)
2026-07-22 06:36:37 | INFO    | crawler.pipeline | [manifold_times] saved [OK] HPA and MB Energy develop safety concept for STS ammonia bunkering (e0937e8c83b8316a.json)
2026-07-22 06:36:45 | INFO    | crawler.pipeline | [manifold_times] saved [OK] GCMD: Project CAPTURED achieves two regulatory milestones for onboard  (748969fa0bc241ce.json)
2026-07-22 06:36:57 | INFO    | crawler.pipeline | [manifold_times] saved [OK] Alkagesta highlights key insights of Malta bunkering market in 2026 (10e42e81c5b4e0c5.json)
2026-07-22 06:36:59 | INFO    | crawler.pipeline | [manifold_times] single cycle done, 5 new article(s)
