年月,年,月,海运_抵港_千公吨,海运_离港_千公吨,河运_抵港_千公吨,河运_离港_千公吨
201501,2015,1,13070,5528,4756,4838
201502,2015,2,8425,4392,2961,2506
201503,2015,3,9504,4871,3197,4384
201504,2015,4,9854,4785,3552,4639
201505,2015,5,10338,4845,3500,4141
201506,2015,6,9800,4976,3479,4444
201507,2015,7,9741,5178,3306,4484
201508,2015,8,8271,4668,3391,4439
201509,2015,9,9002,4343,3214,3747
201510,2015,10,8109,4092,2881,3092
201511,2015,11,8000,4346,3171,2842
201512,2015,12,8067,4381,3219,3793
201601,2016,1,8913,4716,3817,4030
201602,2016,2,6111,3305,1971,2997
201603,2016,3,8286,3946,3225,4325
201604,2016,4,8383,4281,3242,4221
201605,2016,5,9026,4684,3294,4529
201606,2016,6,9143,4557,3235,4161
201607,2016,7,11028,4652,3212,3718
201608,2016,8,9426,4602,3686,5190
201609,2016,9,9093,4394,3436,4910
201610,2016,10,9343,4461,3176,4648
201611,2016,11,10415,4782,3712,5226
201612,2016,12,11123,5416,4478,4208
201701,2017,1,9083,4946,4206,3443
201702,2017,2,9300,4039,2801,4189
201703,2017,3,10318,5007,4259,4579
201704,2017,4,10439,5106,4241,3675
201705,2017,5,10722,5251,4140,3337
201706,2017,6,9779,5020,4530,3476
201707,2017,7,9949,4994,5076,4092
201708,2017,8,9720,4582,4824,4215
201709,2017,9,9825,4973,4740,3934
201710,2017,10,9618,4666,5045,4577
201711,2017,11,9846,4768,5850,4714
201712,2017,12,10274,4665,5993,4720
201801,2018,1,9488,5360,5442,4241
201802,2018,2,7354,4068,3405,2781
201803,2018,3,10209,4162,4714,4466
201804,2018,4,8795,4337,4396,3313
201805,2018,5,9879,4601,4283,4063
201806,2018,6,9963,4667,4288,3514
201807,2018,7,9139,4755,3811,3716
201808,2018,8,9131,4612,3589,3618
201809,2018,9,8442,4390,3214,3283
201810,2018,10,8999,4612,3572,3795
201811,2018,11,9218,4524,4329,3719
201812,2018,12,9261,4583,4589,3850
201901,2019,1,8833,4638,4822,3043
201902,2019,2,7356,3249,2445,2594
201903,2019,3,8894,4387,4637,4164
201904,2019,4,9874,4208,4891,3986
201905,2019,5,10520,4310,5078,4214
201906,2019,6,9136,4231,4964,3893
201907,2019,7,9472,4309,5390,3563
201908,2019,8,9603,4109,5666,3831
201909,2019,9,8170,4115,5406,3542
201910,2019,10,10447,4141,5575,3037
201911,2019,11,8967,4202,5293,3187
201912,2019,12,9878,4274,5614,3159
202001,2020,1,8625,4016,4795,2146
202002,2020,2,7050,2699,3058,2317
202003,2020,3,9222,4053,6265,2919
202004,2020,4,9290,4004,6355,2533
202005,2020,5,9850,3606,7252,3125
202006,2020,6,8772,3732,6153,2784
202007,2020,7,9265,3823,6226,2895
202008,2020,8,8467,3947,4975,2866
202009,2020,9,8064,3837,5906,3058
202010,2020,10,8310,3752,5298,2889
202011,2020,11,7971,3979,4906,3041
202012,2020,12,8693,4149,5164,3184
202101,2021,1,8197,4427,3750,2058
202102,2021,2,5381,3250,1855,805
202103,2021,3,8824,4107,3935,2586
202104,2021,4,8478,4212,3280,2570
202105,2021,5,8889,4638,2978,2528
202106,2021,6,7540,4524,3119,2256
202107,2021,7,8544,4754,3173,2456
202108,2021,8,8463,4373,3103,2380
202109,2021,9,8438,4401,2915,2507
202110,2021,10,7799,3982,2697,2040
202111,2021,11,8764,4788,3364,2526
202112,2021,12,8143,4342,3275,2317
202201,2022,1,6582,3786,2315,1084
202202,2022,2,5902,3103,1690,1109
202203,2022,3,8134,3633,3049,2020
202204,2022,4,7709,4040,3673,2464
202205,2022,5,7610,4172,3043,1931
202206,2022,6,7047,4090,3535,2960
202207,2022,7,7783,4276,3087,2052
202208,2022,8,6838,3676,2856,2288
202209,2022,9,7037,3713,3108,2635
202210,2022,10,6494,3567,2932,2344
202211,2022,11,6799,3724,3144,2313
202212,2022,12,6729,3545,3967,2516
202301,2023,1,4955,2865,2138,1317
202302,2023,2,5999,2694,2620,2182
202303,2023,3,7195,3608,3295,2353
202304,2023,4,6685,3498,2848,2013
202305,2023,5,6402,3435,2822,1820
202306,2023,6,6680,3450,2908,1941
202307,2023,7,6108,3265,3117,2053
202308,2023,8,6704,3513,3612,2276
202309,2023,9,6533,3214,2809,2100
202310,2023,10,6240,3134,2514,1935
202311,2023,11,5970,3284,3209,2147
202312,2023,12,6580,3127,3746,1953
202401,2024,1,6316,3290,3767,2370
202402,2024,2,4986,2674,2151,1315
202403,2024,3,6580,3075,3677,2596
202404,2024,4,6303,3013,3085,2566
202405,2024,5,6085,3416,3423,2479
202406,2024,6,6450,3097,3265,2633
202407,2024,7,5838,3226,3478,2907
202408,2024,8,6319,3250,3146,1794
202409,2024,9,5758,2954,3182,1884
202410,2024,10,5936,3200,3147,2726
202411,2024,11,5785,3343,3217,2088
202412,2024,12,6176,3388,3010,2327
202501,2025,1,5743,3170,2731,2358
202502,2025,2,5092,2479,2048,2649
202503,2025,3,6259,3179,2634,2797
202504,2025,4,5999,3231,2523,2787
202505,2025,5,5797,3142,2902,3035
202506,2025,6,5557,2753,2492,2182
202507,2025,7,5786,3069,2746,2869
202508,2025,8,5802,2965,2679,2669
202509,2025,9,5239,2640,2411,2409
202510,2025,10,5564,2925,2741,3282
202511,2025,11,5322,2891,2794,3283
202512,2025,12,6116,2937,3110,3847
202601,2026,1,5604,2959,2933,3565
202602,2026,2,4764,2602,1965,2207
202603,2026,3,6380,3030,3043,2997
202604,2026,4,5084,3137,2767,2969
