年月,年,月,进口额,出口额
201501,2015,1,722501390.0,816141300.0
201502,2015,2,458940300.0,543788440.0
201503,2015,3,816352940.0,812463210.0
201504,2015,4,876987150.0,944908510.0
201505,2015,5,815213230.0,873390440.0
201506,2015,6,720507320.0,776886890.0
201507,2015,7,781420510.0,791391900.0
201508,2015,8,707052320.0,758258800.0
201509,2015,9,673574330.0,706098900.0
201510,2015,10,678335970.0,731695770.0
201511,2015,11,666351530.0,713185460.0
201512,2015,12,669608030.0,708647290.0
201601,2016,1,657242040.0,695438510.0
201602,2016,2,398026070.0,442183040.0
201603,2016,3,717038530.0,738695360.0
201604,2016,4,761229170.0,838298110.0
201605,2016,5,678395510.0,731816670.0
201606,2016,6,600674490.0,619410610.0
201607,2016,7,606347430.0,645494460.0
201608,2016,8,613457910.0,652533440.0
201609,2016,9,626060110.0,651654250.0
201610,2016,10,591395480.0,647156250.0
201611,2016,11,633261720.0,668986760.0
201612,2016,12,594898720.0,641125680.0
201701,2017,1,480287860.0,598562770.0
201702,2017,2,451764820.0,455103090.0
201703,2017,3,716828190.0,745144920.0
201704,2017,4,674571430.0,712188230.0
201705,2017,5,659072310.0,703422850.0
201706,2017,6,613122120.0,641662450.0
201707,2017,7,620698650.0,663250770.0
201708,2017,8,601924960.0,629857280.0
201709,2017,9,613890290.0,650106990.0
201710,2017,10,581670570.0,623584910.0
201711,2017,11,603389020.0,656217640.0
201712,2017,12,606939840.0,630612710.0
201801,2018,1,617675500.0,663264160.0
201802,2018,2,358655570.0,417021540.0
201803,2018,3,647250760.0,677243060.0
201804,2018,4,703804400.0,744921190.0
201805,2018,5,696878000.0,731949660.0
201806,2018,6,588204370.0,626028780.0
201807,2018,7,637968240.0,669487780.0
201808,2018,8,618834190.0,646486490.0
201809,2018,9,586839760.0,623255100.0
201810,2018,10,549761290.0,629772130.0
201811,2018,11,547049230.0,585045370.0
201812,2018,12,488180810.0,514428460.0
201901,2019,1,553622940.0,620617530.0
201902,2019,2,341876730.0,356456230.0
201903,2019,3,616587920.0,667296240.0
201904,2019,4,606822060.0,648642800.0
201905,2019,5,575825510.0,615122430.0
201906,2019,6,501227870.0,550813640.0
201907,2019,7,519243790.0,551538390.0
201908,2019,8,472555330.0,517420280.0
201909,2019,9,462885020.0,524268550.0
201910,2019,10,473796180.0,510929900.0
201911,2019,11,436366580.0,467105730.0
201912,2019,12,451163960.0,485695600.0
202001,2020,1,345119450.0,386323730.0
202002,2020,2,383104540.0,352886170.0
202003,2020,3,531553620.0,593629920.0
202004,2020,4,415203750.0,538800990.0
202005,2020,5,402660700.0,604248970.0
202006,2020,6,380292120.0,418482870.0
202007,2020,7,387238540.0,419122340.0
202008,2020,8,376193090.0,410883850.0
202009,2020,9,412894300.0,434197530.0
202010,2020,10,398437520.0,448520930.0
202011,2020,11,407683380.0,449712380.0
202012,2020,12,411852220.0,426962900.0
202101,2021,1,422119230.0,474699030.0
202102,2021,2,244652460.0,310435320.0
202103,2021,3,439690160.0,476947510.0
202104,2021,4,456447940.0,484772470.0
202105,2021,5,426456290.0,478619700.0
202106,2021,6,469086020.0,457493920.0
202107,2021,7,427905270.0,466319100.0
202108,2021,8,418517450.0,470015520.0
202109,2021,9,424168030.0,460499520.0
202110,2021,10,399311380.0,427762010.0
202111,2021,11,427711960.0,485710810.0
202112,2021,12,467438660.0,477460620.0
202201,2022,1,443912560.0,529806550.0
202202,2022,2,217876230.0,230231170.0
202203,2022,3,273757770.0,299325130.0
202204,2022,4,294904740.0,301377440.0
202205,2022,5,280570550.0,292003920.0
202206,2022,6,247028340.0,265993000.0
202207,2022,7,235566890.0,267918690.0
202208,2022,8,224444090.0,249655120.0
202209,2022,9,210857270.0,241078890.0
202210,2022,10,195104260.0,211189680.0
202211,2022,11,195123240.0,211011190.0
202212,2022,12,196714310.0,210225210.0
202301,2023,1,150758010.0,191386780.0
202302,2023,2,188632470.0,191254180.0
202303,2023,3,241519980.0,263204890.0
202304,2023,4,219548940.0,230400300.0
202305,2023,5,216577790.0,221263250.0
202306,2023,6,206204960.0,206740040.0
202307,2023,7,199953260.0,204455160.0
202308,2023,8,207202970.0,216689460.0
202309,2023,9,201508710.0,211377010.0
202310,2023,10,201411600.0,203064030.0
202311,2023,11,218080980.0,227028620.0
202312,2023,12,207613770.0,211689790.0
202401,2024,1,223660970.0,242341840.0
202402,2024,2,154178700.0,161255640.0
202403,2024,3,258130990.0,276390140.0
202404,2024,4,241149480.0,262467400.0
202405,2024,5,240514690.0,258194430.0
202406,2024,6,224304990.0,242929180.0
202407,2024,7,218131290.0,242379670.0
202408,2024,8,227308250.0,239998330.0
202409,2024,9,220491960.0,241369700.0
202410,2024,10,193761880.0,221392470.0
202411,2024,11,199387630.0,228471100.0
202412,2024,12,207267060.0,233927200.0
202501,2025,1,192030020.0,230108320.0
202502,2025,2,179035220.0,180222770.0
202503,2025,3,251101500.0,299102700.0
202504,2025,4,218103210.0,252038930.0
202505,2025,5,205539100.0,257031840.0
202506,2025,6,184673190.0,227839950.0
202507,2025,7,182921050.0,218775180.0
202508,2025,8,184591680.0,239955690.0
202509,2025,9,195531960.0,221833820.0
202510,2025,10,171843100.0,194311520.0
202511,2025,11,184696720.0,217936940.0
202512,2025,12,218309520.0,223903680.0
202601,2026,1,214537440.0,265960370.0
202602,2026,2,140353980.0,182057590.0
202603,2026,3,223549430.0,244465260.0
202604,2026,4,220110670.0,267849140.0
202605,2026,5,209731600.0,254742410.0
