年月,年,月,进口额,出口额
201501,2015,1,2822942000,24708752000
201502,2015,2,1920719000,21044087000
201503,2015,3,3098020000,12190949000
201504,2015,4,2954746000,19222665000
201505,2015,5,2702670000,22598102000
201506,2015,6,2961434000,24404053000
201507,2015,7,3095982000,26148116000
201508,2015,8,2732528000,27606080000
201509,2015,9,2610077000,25791635000
201510,2015,10,2243002000,22765968000
201511,2015,11,2390192000,21160430000
201512,2015,12,2817769000,25942874000
201601,2016,1,2304145000,23351336000
201602,2016,2,1704639000,15208065000
201603,2016,3,2579376000,16313423000
201604,2016,4,2364340000,20150529000
201605,2016,5,2411092000,22745905000
201606,2016,6,2421393000,23068436000
201607,2016,7,2449130000,24112052000
201608,2016,8,2569549000,26828843000
201609,2016,9,2295832000,21822433000
201610,2016,10,2133598000,20541848000
201611,2016,11,2489698000,20617857000
201612,2016,12,2791215000,22544800000
201701,2017,1,2269673000,23098654000
201702,2017,2,2346699000,10601828000
201703,2017,3,2731607000,19403657000
201704,2017,4,2297892000,20847703000
201705,2017,5,2576600000,22658367000
201706,2017,6,2658448000,23450014000
201707,2017,7,2593542000,24424645000
201708,2017,8,2764015000,25182381000
201709,2017,9,2700462000,22772898000
201710,2017,10,2474113000,20800034000
201711,2017,11,2877831000,22137334000
201712,2017,12,2738957000,23078673000
201801,2018,1,2985395000,22237888000
201802,2018,2,1851398000,19695754000
201803,2018,3,2921725000,13677496000
201804,2018,4,2650315000,20647483000
201805,2018,5,3217858000,22604648000
201806,2018,6,2871401000,24591407000
201807,2018,7,3161481000,25862417000
201808,2018,8,3334079000,25957113000
201809,2018,9,2911865000,25565694000
201810,2018,10,2682403000,22213849000
201811,2018,11,2836173000,21979553000
201812,2018,12,2750040000,22164184000
201901,2019,1,3148558000,24174319000
201902,2019,2,2185449000,12679884000
201903,2019,3,2830810000,17616773000
201904,2019,4,2967738000,18757512000
201905,2019,5,2983351000,23051186000
201906,2019,6,2695977000,23712982000
201907,2019,7,2992041000,26352207000
201908,2019,8,2474700000,24672752000
201909,2019,9,2420040000,23320150000
201910,2019,10,2289919000,21780729000
201911,2019,11,2537391000,20741875000
201912,2019,12,2657485000,23713197000
202001,2020,1,1990203947,24505596992
202002,2020,2,2995898499,4861280680
202003,2020,3,2888132000,15288476000
202004,2020,4,2210737648,20983682196
202005,2020,5,1755479547,28780080706
202006,2020,6,2098845160,28028965522
202007,2020,7,2399945856,30225195439
202008,2020,8,2335657562,29706740800
202009,2020,9,2659630527,27144439441
202010,2020,10,2416861559,23527787847
202011,2020,11,2656781844,23177634388
202012,2020,12,2959744155,24641972079
202101,2021,1,3257974431,25134509737
202102,2021,2,2323139834,18459430942
202103,2021,3,3422003081,17656117501
202104,2021,4,3116965165,22318649116
202105,2021,5,2872581640,23393707575
202106,2021,6,2981739160,26727744680
202107,2021,7,2957806478,27524522849
202108,2021,8,3033543894,29404265163
202109,2021,9,2926750172,28425727486
202110,2021,10,2594671348,28308289472
202111,2021,11,2946911388,28035413663
202112,2021,12,3044917862,29640254663
202201,2022,1,3220914443,32016697059
202202,2022,2,2341659907,17604607450
202203,2022,3,2890919618,21880786016
202204,2022,4,2494530270,23401796484
202205,2022,5,2751162426,28935375166
202206,2022,6,2843276995,31213888508
202207,2022,7,2514177501,32806996651
202208,2022,8,2710653439,30622722624
202209,2022,9,2531305258,27720293607
202210,2022,10,2260064935,24713615002
202211,2022,11,2595613045,24042484835
202212,2022,12,2306161066,24990950365
202301,2023,1,1956122841,26183156095
202302,2023,2,2053875137,14422608088
202303,2023,3,2316320711,26201771242
202304,2023,4,2199796664,25484075882
202305,2023,5,2405922613,25129506050
202306,2023,6,2403987954,26766186282
202307,2023,7,2488384199,26838374955
202308,2023,8,2916850919,27618526168
202309,2023,9,2753526602,25953081324
202310,2023,10,2757909005,22782966229
202311,2023,11,2851022847,23419535017
202312,2023,12,2813470049,25028473480
202401,2024,1,2978816971,27165030586
202402,2024,2,2391638356,17639413533
202403,2024,3,3028535023,20717666620
202404,2024,4,2884967764,23822124382
202405,2024,5,2631709730,25991256087
202406,2024,6,2411012730,27151355004
202407,2024,7,2725708675,26519940628
202408,2024,8,2531698061,27709856691
202409,2024,9,2315578378,24548843751
202410,2024,10,2303727458,25278259551
202411,2024,11,2212981638,24951688550
202412,2024,12,2501499471,27872326233
202501,2025,1,1993666387,29749642838
202502,2025,2,1965169965,12888288863
202503,2025,3,2045209191,23255152605
202504,2025,4,2038806249,24053359880
202505,2025,5,1920435051,26053069486
202506,2025,6,1991861190,27119172178
202507,2025,7,2171650200,26562150941
202508,2025,8,2306941241,26349227952
202509,2025,9,2312338259,24258944083
202510,2025,10,2200117140,22139141545
202511,2025,11,2409545198,23748459722
202512,2025,12,2694549000,25839797000
202601,2026,1,2544388000,27820700000
202602,2026,2,2020564000,22310465000
202603,2026,3,2701480000,16564378000
202604,2026,4,2659645000,23941003000
202605,2026,5,2364206000,25381469000
