source_page,source_file,year,month,flow,commodity_original,commodity_normalized,value,source_value,source_unit
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,1,export,"Fibres, not spun",fibres_not_spun,208862957.0,208862.957,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,1,export,Pieces of cloth and other technical cloths,technical_cloths,41563336.0,41563.336,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,1,export,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,108878412.0,108878.412,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,1,export,"Textile, sewing products",textiles_and_garments_or_sewing_products,1918161993.0,1918161.993,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,1,import,Cotton,cotton,130366368.0,130366.368,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,1,import,Textile fibrics,fabrics,779789579.0,779789.579,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,1,import,"Fibres, not spun",fibres_not_spun,134769812.0,134769.812,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,1,import,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,370869372.0,370869.372,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,2,export,"Fibres, not spun",fibres_not_spun,138964852.0,138964.852,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,2,export,Pieces of cloth and other technical cloths,technical_cloths,32373287.0,32373.287,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,2,export,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,68497252.0,68497.252,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,2,export,"Textile, sewing products",textiles_and_garments_or_sewing_products,1341293726.0,1341293.726,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,2,import,Cotton,cotton,80506951.0,80506.951,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,2,import,Textile fibrics,fabrics,564657426.0,564657.426,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,2,import,"Fibres, not spun",fibres_not_spun,87671197.0,87671.197,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,2,import,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,288089995.0,288089.995,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,3,export,"Fibres, not spun",fibres_not_spun,239182704.0,239182.704,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,3,export,Pieces of cloth and other technical cloths,technical_cloths,39442389.0,39442.389,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,3,export,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,122316912.0,122316.912,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,3,export,"Textile, sewing products",textiles_and_garments_or_sewing_products,1627633068.0,1627633.068,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,3,import,Cotton,cotton,175477350.0,175477.35,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,3,import,Textile fibrics,fabrics,748064209.0,748064.209,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,3,import,"Fibres, not spun",fibres_not_spun,136267559.0,136267.559,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,3,import,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,432360411.0,432360.411,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,4,export,"Fibres, not spun",fibres_not_spun,217667677.0,217667.677,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,4,export,Pieces of cloth and other technical cloths,technical_cloths,38143307.0,38143.307,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,4,export,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,122067082.0,122067.082,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,4,export,"Textile, sewing products",textiles_and_garments_or_sewing_products,1636127537.0,1636127.537,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,4,import,Cotton,cotton,161808255.0,161808.255,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,4,import,Textile fibrics,fabrics,881249800.0,881249.8,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,4,import,"Fibres, not spun",fibres_not_spun,129093735.0,129093.735,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,4,import,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,450533450.0,450533.45,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,5,export,"Fibres, not spun",fibres_not_spun,236309839.0,236309.839,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,5,export,Pieces of cloth and other technical cloths,technical_cloths,38739545.0,38739.545,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,5,export,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,119275296.0,119275.296,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,5,export,"Textile, sewing products",textiles_and_garments_or_sewing_products,1709194979.0,1709194.979,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,5,import,Cotton,cotton,158654352.0,158654.352,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,5,import,Textile fibrics,fabrics,1109030143.0,1109030.143,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,5,import,"Fibres, not spun",fibres_not_spun,135265825.0,135265.825,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E2-2015.xls,2015,5,import,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,529413929.0,529413.929,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,6,export,"Fibres, not spun",fibres_not_spun,223920700.0,223920.7,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,6,export,Pieces of cloth and other technical cloths,technical_cloths,39684520.0,39684.52,1000 USD
https://www.nso.gov.vn/en/data-and-statistics/2019/11/preliminary-exports-and-imports-in-2015/,https://www.nso.gov.vn/wp-content/uploads/2019/11/E1-2015.xls,2015,6,export,"Auxiliary materials for textile, garment, leather, footwear",textile_garment_leather_footwear_materials_auxiliaries,123162132.0,123162.132,1000 USD
