年月,年,月,进口额,出口额
201501,2015,1,8908462562,2083073408
201502,2015,2,8382133224,2138416589
201503,2015,3,9612798142,2413270509
201504,2015,4,8492213445,2332512642
201505,2015,5,8692182408,2298303685
201506,2015,6,9944406873,2159631931
201507,2015,7,11263219614,2065027476
201508,2015,8,11572224204,1963361273
201509,2015,9,10804325623,1886381938
201510,2015,10,10451306165,2013136075
201511,2015,11,8525180281,1837519125
201512,2015,12,8443695958,1764343321
201601,2016,1,8963075542,1829907032
201602,2016,2,9500610472,1932574548
201603,2016,3,7788978324,2103396073
201604,2016,4,8007969800,1995535245
201605,2016,5,8600563300,1980707283
201606,2016,6,9325972930,1979774000
201607,2016,7,10323804128,1921570530
201608,2016,8,10998295793,2069380866
201609,2016,9,9671505573,1991142545
201610,2016,10,9826106836,1895709531
201611,2016,11,8410213584,1923735399
201612,2016,12,7995950696,1986157278
201701,2017,1,9476308303,2115393055
201702,2017,2,8328953856,2243216114
201703,2017,3,8104680888,2544302480
201704,2017,4,8002128616,2241603659
201705,2017,5,8726876404,2318224441
201706,2017,6,9096903242,2210742929
201707,2017,7,10244809161,2103649512
201708,2017,8,10808597954,2144513703
201709,2017,9,9961293373,1904121105
201710,2017,10,10265006081,1978207760
201711,2017,11,8803521008,2014134626
201712,2017,12,7878579559,2064896256
201801,2018,1,9526712088,2190815259
201802,2018,2,8931247422,2426884607
201803,2018,3,8041208960,2720192440
201804,2018,4,8341311134,2610690874
201805,2018,5,8968788486,2559793744
201806,2018,6,9217183614,2296068155
201807,2018,7,10916481028,2154034220
201808,2018,8,11138876231,2155703990
201809,2018,9,10509980722,1980383557
201810,2018,10,11471962699,2172860488
201811,2018,11,8809491521,2032991940
201812,2018,12,8584891643,1872610980
201901,2019,1,10339272756,2159063272
201902,2019,2,9056172430,2195525189
201903,2019,3,8444034665,2629676984
201904,2019,4,8680597046,2372851513
201905,2019,5,9502691807,2421765629
201906,2019,6,9480835750,2318516644
201907,2019,7,11639916778,2236614078
201908,2019,8,11219076597,2141751610
201909,2019,9,10336338859,1895678794
201910,2019,10,10192082169,2005092229
201911,2019,11,8029234281,1904971593
201912,2019,12,8075279088,1842448696
202001,2020,1,9247094025,2116111545
202002,2020,2,8097795503,2276591047
202003,2020,3,7304998551,2236637327
202004,2020,4,7418805847,1302416720
202005,2020,5,8478222750,1452561847
202006,2020,6,9379790775,1726075127
202007,2020,7,11477291766,1854952988
202008,2020,8,11688944888,1906595330
202009,2020,9,11363139721,1846058758
202010,2020,10,10852587098,2054196633
202011,2020,11,8723859099,2039343745
202012,2020,12,8133750249,1951854461
202101,2021,1,8664628417,2032074973
202102,2021,2,8235234465,2031681445
202103,2021,3,9801288806,2401617075
202104,2021,4,8761758572,2303482728
202105,2021,5,9383932296,2342725728
202106,2021,6,9459803606,2189737174
202107,2021,7,10200783800,2122723834
202108,2021,8,11374892962,2150185025
202109,2021,9,11333017674,1924518567
202110,2021,10,11651289215,2010163639
202111,2021,11,10773258655,1907118958
202112,2021,12,10536436517,2137926433
202201,2022,1,10648672912,2341522866
202202,2022,2,10463636592,2523148722
202203,2022,3,12619853766,3057659977
202204,2022,4,11466494848,2875237631
202205,2022,5,11936664517,2979981823
202206,2022,6,11884281734,2855775135
202207,2022,7,12581482783,2695393068
202208,2022,8,13592642217,2740887523
202209,2022,9,12600394530,2325802844
202210,2022,10,11133166615,2205559762
202211,2022,11,8972521251,2159700671
202212,2022,12,9017545904,1926046086
202301,2023,1,9820330006,2192606847
202302,2023,2,8272282703,2273430123
202303,2023,3,8626435266,2579788582
202304,2023,4,8237318296,2395127488
202305,2023,5,9001511764,2522376524
202306,2023,6,9174822170,2204334863
202307,2023,7,10431826263,2133758114
202308,2023,8,10505073231,2237062988
202309,2023,9,10106679759,2013920048
202310,2023,10,9343977593,1927384484
202311,2023,11,7802501629,1982565514
202312,2023,12,7882772956,2029258921
202401,2024,1,8569152154,2090068892
202402,2024,2,8663952199,2291485199
202403,2024,3,8546502379,2453540927
202404,2024,4,8321365042,2223622567
202405,2024,5,8686096903,2188403483
202406,2024,6,8880055205,1974231866
202407,2024,7,10867791821,1972561828
202408,2024,8,10586843406,2057269860
202409,2024,9,10958479330,1856095917
202410,2024,10,10824736326,2005734254
202411,2024,11,8815359825,1983972951
202412,2024,12,9010535113,1759178679
202501,2025,1,9979950940,1923363348
202502,2025,2,8959235082,2058652656
202503,2025,3,9219319805,2490459494
202504,2025,4,8868631808,2275893141
202505,2025,5,7912776412,2092663593
202506,2025,6,8754433353,1929286412
202507,2025,7,10410338670,1935085469
202508,2025,8,9865507303,1821250221
202509,2025,9,9891273544,1893542026
202510,2025,10,8769361442,2029985590
202511,2025,11,7454995234,1717750703
202512,2025,12,8215839597,1665587964
202601,2026,1,8492656775,1712477355
202602,2026,2,7671219534,1830762355
202603,2026,3,8432204895,2221418490
202604,2026,4,7767036429,2098984825
202605,2026,5,8238955686,2065718895
202606,2026,6,8899243625,2060483091
